lucode,description,usle_c,usle_p
3,Forest Formation,,
5,Mangrove,,
49,Wooded Sandbank Vegetation,,
11,Wetland,,
12,Grassland,,
32,Hypersaline Tidal Flat,,
29,Rocky Outcrop,,
50,Herbaceous Sandbank Vegetation,,
15,Pasture,,
39,Soybean,,
20,Sugar cane,,
41,Other Temporary Crops,,
46,Coffee,,
48,Other Perennial Crops,,
9,Forest Plantation,,
21,Mosaic of Uses,,
23,"Beach, Dune and Sand Spot",,
24,Urban Area,,
30,Mining,,
25,Other non Vegetated Areas,,
33,"River, Lake and Ocean",,
31,Aquaculture,,
